Time,ccj,uec,spread,mvg_avg,mvg_std_dev,upper,lower,long_entry,long_exit,long_positions,short_entry,short_exit,short_positions,positions,percentage_change,strategy_returns,cumulative_returns
2020-09-10,10.5262,1.04,2.677676278577783,2.6035231300888952,0.0755540954682941,7.810569390266686,-2.6035231300888952,False,True,0.0,False,False,0.0,0.0,0.0021442348375229174,0.0,1.924905603994897
2020-09-11,10.7624,1.02,3.064809427066672,2.720996334031117,0.1941152160707851,8.16298900209335,-2.720996334031117,False,True,0.0,False,False,0.0,0.0,0.02097147054108018,0.0,1.924905603994897
2020-09-14,11.0968,1.11,2.7200102588666724,2.741283074635561,0.1858603444790566,8.223849223906683,-2.741283074635561,False,False,0.0,False,True,0.0,0.0,-0.01770598912596446,-0.0,1.924905603994897
2020-09-15,10.9985,1.1,2.697176833111117,2.759589870693339,0.17323947836580986,8.278769612080016,-2.759589870693339,False,False,0.0,False,True,0.0,0.0,-0.0011830898945607443,-0.0,1.924905603994897
2020-09-16,10.9591,1.21,1.8276445164222288,2.597463462808895,0.45891939100950624,7.792390388426686,-2.597463462808895,False,False,0.0,False,True,0.0,0.0,-0.04328065082121063,-0.0,1.924905603994897
2020-09-17,10.6836,1.25,1.2502782194444517,2.311983850982228,0.748900689354063,6.935951552946683,-2.311983850982228,False,False,0.0,False,True,0.0,0.0,-0.02870052900120351,-0.0,1.924905603994897
2020-09-18,10.3098,1.29,0.5746119224666728,1.8139443500622285,0.9293690221951308,5.441833050186686,-1.8139443500622285,False,False,0.0,False,True,0.0,0.0,-0.033707493083274725,-0.0,1.924905603994897
2020-09-21,10.2803,1.05,2.3563097043333396,1.741204239155562,0.8517124287877582,5.223612717466686,-1.741204239155562,False,True,0.0,False,False,0.0,0.0,0.09787241100471691,0.0,1.924905603994897
2020-09-22,10.4771,1.06,2.477643130088895,1.6972974985511176,0.7938003331661312,5.091892495653353,-1.6972974985511176,False,True,0.0,False,False,0.0,0.0,0.006566885086319599,0.0,1.924905603994897
2020-09-23,9.9458,0.9601,2.700254206790895,1.8718194366248508,0.9161220108327359,5.615458309874553,-1.8718194366248508,False,True,0.0,False,False,0.0,0.0,0.012949019778889877,0.0,1.924905603994897
2020-09-24,9.9065,1.01,2.2843760013111165,2.078638992998184,0.8554437364386088,6.235916978994552,-2.078638992998184,False,True,0.0,False,False,0.0,0.0,-0.02372566183808184,-0.0,1.924905603994897
2020-09-25,9.8671,1.0,2.320442575555562,2.4278051236159617,0.16876207707985116,7.2834153708478855,-2.4278051236159617,False,False,0.0,False,True,0.0,0.0,0.0020711540516705203,0.0,1.924905603994897
2020-09-28,9.9458,1.01,2.3236760013111173,2.421278383011517,0.1728010720888424,7.263835149034552,-2.421278383011517,False,False,0.0,False,True,0.0,0.0,0.00018405280873234594,0.0,1.924905603994897
2020-09-29,10.0147,1.04,2.166176278577783,2.3589850127092946,0.20120799009705545,7.076955038127884,-2.3589850127092946,False,False,0.0,False,True,0.0,0.0,-0.008816982040282842,-0.0,1.924905603994897
